doc_id,entity_id,surface,start,end,gold_cpe,cpe_family,relation_ids,linked_cves,audit_status
"aa22-321a","E30","Microsoft Exchange","4399","4417","cpe:2.3:a:microsoft:exchange_server:*:*:*:*:*:*:*:*","a:microsoft:exchange_server","R7","CVE-2021-31207","validated_linked_cve_family"
"aa22-321a","E31","Microsoft Exchange","4482","4500","cpe:2.3:a:microsoft:exchange_server:*:*:*:*:*:*:*:*","a:microsoft:exchange_server","R8","CVE-2021-34473","validated_linked_cve_family"
"aa22-321a","E32","Microsoft Exchange","4563","4581","cpe:2.3:a:microsoft:exchange_server:*:*:*:*:*:*:*:*","a:microsoft:exchange_server","R9","CVE-2021-34523","validated_linked_cve_family"
"aa22-321a","E33","Microsoft Exchange","10763","10781","cpe:2.3:a:microsoft:exchange_server:*:*:*:*:*:*:*:*","a:microsoft:exchange_server","R11|R13|R14|R16","CVE-2021-31207|CVE-2021-34473|CVE-2021-34523|CVE-2021-42321","validated_linked_cve_family"
"aa22-335a","E26","Windows Common Log File System (CLFS) driver","5271","5315","cpe:2.3:o:microsoft:windows:*:*:*:*:*:*:*:*","o:microsoft:windows","R2","CVE-2022-24521","canonical_family_but_not_linked_cve"
"aa23-074a-telerik-cve-18935","E14","Telerik UI for ASP.NET AJAX","2974","3001","cpe:2.3:a:progress:telerik_ui_for_asp.net_ajax:*:*:*:*:*:*:*:*","a:progress:telerik_ui_for_asp.net_ajax","R2","CVE-2019-18935","canonical_family_but_not_linked_cve"
"aa23-074a-telerik-cve-18935","E15","Telerik UI for ASP.NET AJAX","1013","1040","cpe:2.3:a:progress:telerik_ui_for_asp.net_ajax:*:*:*:*:*:*:*:*","a:progress:telerik_ui_for_asp.net_ajax","R3","CVE-2017-9248","canonical_family_but_not_linked_cve"
"aa23-074a-telerik-cve-18935","E16","Telerik UI for ASP.NET AJAX","3661","3688","cpe:2.3:a:progress:telerik_ui_for_asp.net_ajax:*:*:*:*:*:*:*:*","a:progress:telerik_ui_for_asp.net_ajax","R11|R12|R4|R5","CVE-2017-11317|CVE-2017-11357|CVE-2017-9248|CVE-2019-18935","validated_linked_cve_family"
"aa23-074a-telerik-cve-18935","E81","Progress Telerik user interface (UI) for ASP.NET AJAX","445","498","cpe:2.3:a:progress:telerik_ui_for_asp.net_ajax:*:*:*:*:*:*:*:*","a:progress:telerik_ui_for_asp.net_ajax","R8","CVE-2019-18935","canonical_family_but_not_linked_cve"
"aa23-074a-telerik-cve-18935","E83","Telerik UI for ASP.NET AJAX","3992","4019","cpe:2.3:a:progress:telerik_ui_for_asp.net_ajax:*:*:*:*:*:*:*:*","a:progress:telerik_ui_for_asp.net_ajax","R10","CVE-2017-9248","canonical_family_but_not_linked_cve"
"aa23-074a-telerik-cve-18935","E84","Telerik UI for ASP.NET AJAX","9644","9671","cpe:2.3:a:progress:telerik_ui_for_asp.net_ajax:*:*:*:*:*:*:*:*","a:progress:telerik_ui_for_asp.net_ajax","R14","CVE-2019-18935","canonical_family_but_not_linked_cve"
"aa23-074a","E21","Progress Telerik","1330","1346","cpe:2.3:a:progress:telerik_ui_for_asp.net_ajax:*:*:*:*:*:*:*:*","a:progress:telerik_ui_for_asp.net_ajax","R1","CVE-2019-18935","canonical_family_but_not_linked_cve"
"aa23-074a","E77","Telerik UI for ASP.NET AJAX","3231","3258","cpe:2.3:a:progress:telerik_ui_for_asp.net_ajax:*:*:*:*:*:*:*:*","a:progress:telerik_ui_for_asp.net_ajax","R5","CVE-2019-18935","canonical_family_but_not_linked_cve"
"aa23-074a","E79","Telerik UI for ASP.NET AJAX","3917","3944","cpe:2.3:a:progress:telerik_ui_for_asp.net_ajax:*:*:*:*:*:*:*:*","a:progress:telerik_ui_for_asp.net_ajax","R10|R7|R8|R9","CVE-2017-11317|CVE-2017-11357|CVE-2017-9248|CVE-2019-18935","validated_linked_cve_family"
"aa23-074a","E80","Telerik UI for ASP.NET AJAX DialogHandler","4241","4282","cpe:2.3:a:progress:telerik_ui_for_asp.net_ajax:*:*:*:*:*:*:*:*","a:progress:telerik_ui_for_asp.net_ajax","R11","CVE-2017-9248","canonical_family_but_not_linked_cve"
"aa23-074a","E81","Telerik","9355","9362","cpe:2.3:a:progress:telerik_ui_for_asp.net_ajax:*:*:*:*:*:*:*:*","a:progress:telerik_ui_for_asp.net_ajax","R13|R14","CVE-2017-11317|CVE-2017-11357","validated_linked_cve_family"
"aa23-074a","E82","Telerik UI for ASP.NET AJAX","9921","9948","cpe:2.3:a:progress:telerik_ui_for_asp.net_ajax:*:*:*:*:*:*:*:*","a:progress:telerik_ui_for_asp.net_ajax","R15","CVE-2019-18935","canonical_family_but_not_linked_cve"
"aa23-131a","E16","PaperCut NG","1003","1014","cpe:2.3:a:papercut:papercut_ng:*:*:*:*:*:*:*:*","a:papercut:papercut_ng","R1","CVE-2023-27350","validated_linked_cve_family"
"aa23-131a","E17","PaperCut MF","1019","1030","cpe:2.3:a:papercut:papercut_mf:*:*:*:*:*:*:*:*","a:papercut:papercut_mf","R2","CVE-2023-27350","validated_linked_cve_family"
"aa23-136a","E102","Windows 10 and 11","6903","6920","cpe:2.3:o:microsoft:windows:*:*:*:*:*:*:*:*","o:microsoft:windows","R5","CVE-2022-37969","canonical_family_but_not_linked_cve"
"aa23-136a","E103","Windows 10 and 11","23176","23193","cpe:2.3:o:microsoft:windows:*:*:*:*:*:*:*:*","o:microsoft:windows","R7","CVE-2022-37969","canonical_family_but_not_linked_cve"
"aa23-136a","E104","Netlogon","11386","11394","cpe:2.3:o:microsoft:windows:*:*:*:*:*:*:*:*","o:microsoft:windows","R8","CVE-2020-1472","canonical_family_but_not_linked_cve"
"aa23-136a","E105","NetLogon","19853","19861","cpe:2.3:o:microsoft:windows:*:*:*:*:*:*:*:*","o:microsoft:windows","R9","CVE-2020-1472","canonical_family_but_not_linked_cve"
"aa23-136a","E106","NetLogon","45392","45400","cpe:2.3:o:microsoft:windows:*:*:*:*:*:*:*:*","o:microsoft:windows","R10","CVE-2020-1472","canonical_family_but_not_linked_cve"
"aa23-158a","E35","GoAnywhere MFT","5397","5411","cpe:2.3:a:fortra:goanywhere_managed_file_transfer:*:*:*:*:*:*:*:*","a:fortra:goanywhere_managed_file_transfer","R3","CVE-2023-0669","validated_linked_cve_family"
"aa23-158a","E56","MOVEit","62","68","cpe:2.3:a:progress:moveit_transfer:*:*:*:*:*:*:*:*","a:progress:moveit_transfer","R5","CVE-2023-34362","validated_linked_cve_family"
"aa23-158a","E57","MOVEit","602","608","cpe:2.3:a:progress:moveit_transfer:*:*:*:*:*:*:*:*","a:progress:moveit_transfer","R6","CVE-2023-34362","validated_linked_cve_family"
"aa23-158a","E58","MOVEit Transfer","2567","2582","cpe:2.3:a:progress:moveit_transfer:*:*:*:*:*:*:*:*","a:progress:moveit_transfer","R7","CVE-2023-34362","validated_linked_cve_family"
"aa23-158a","E59","MOVEIT TRANSFER","8806","8821","cpe:2.3:a:progress:moveit_transfer:*:*:*:*:*:*:*:*","a:progress:moveit_transfer","R8","CVE-2023-34362","validated_linked_cve_family"
"aa23-158a","E60","MOVEit Transfer","9162","9177","cpe:2.3:a:progress:moveit_transfer:*:*:*:*:*:*:*:*","a:progress:moveit_transfer","R9","CVE-2023-34362","validated_linked_cve_family"
"aa23-158a","E62","MOVEit Transfer","24509","24524","cpe:2.3:a:progress:moveit_transfer:*:*:*:*:*:*:*:*","a:progress:moveit_transfer","R12","CVE-2023-34362","validated_linked_cve_family"
"aa23-165a","E83","F5 iControl REST","24530","24546","cpe:2.3:a:f5:big-ip:*:*:*:*:*:*:*:*","a:f5:big-ip","R1","CVE-2021-22986","canonical_family_but_not_linked_cve"
"aa23-165a","E84","Fortra GoAnyhwere Managed File Transfer (MFT)","24659","24704","cpe:2.3:a:fortra:goanywhere_managed_file_transfer:*:*:*:*:*:*:*:*","a:fortra:goanywhere_managed_file_transfer","R2","CVE-2023-0669","validated_linked_cve_family"
"aa23-165a","E85","Apache Log4j2","24907","24920","cpe:2.3:a:apache:log4j:*:*:*:*:*:*:*:*","a:apache:log4j","R3","CVE-2021-44228","validated_linked_cve_family"
"aa23-165a","E86","F5 BIG-IP","24976","24985","cpe:2.3:a:f5:big-ip:*:*:*:*:*:*:*:*","a:f5:big-ip","R4","CVE-2021-22986","canonical_family_but_not_linked_cve"
"aa23-165a","E87","BIG-IQ Centralized Management","24990","25019","cpe:2.3:a:f5:big-iq_centralized_management:*:*:*:*:*:*:*:*","a:f5:big-iq_centralized_management","R5","CVE-2021-22986","validated_linked_cve_family"
"aa23-165a","E88","NetLogon","25088","25096","cpe:2.3:o:microsoft:windows:*:*:*:*:*:*:*:*","o:microsoft:windows","R6","CVE-2020-1472","canonical_family_but_not_linked_cve"
"aa23-165a","E89","Microsoft Remote Desktop Services","25150","25183","cpe:2.3:o:microsoft:windows:*:*:*:*:*:*:*:*","o:microsoft:windows","R7","CVE-2019-0708","canonical_family_but_not_linked_cve"
"aa23-165a","E90","Fortinet FortiOS","25243","25259","cpe:2.3:o:fortinet:fortios:*:*:*:*:*:*:*:*","o:fortinet:fortios","R8","CVE-2018-13379","validated_linked_cve_family"
"aa23-187a","E93","Netwrix Auditor","30447","30462","cpe:2.3:a:netwrix:auditor:*:*:*:*:*:*:*:*","a:netwrix:auditor","R3","CVE-2022-31199","validated_linked_cve_family"
"aa23-187a","E94","Netwrix Auditor","2177","2192","cpe:2.3:a:netwrix:auditor:*:*:*:*:*:*:*:*","a:netwrix:auditor","R4","CVE-2022-31199","validated_linked_cve_family"
"aa23-187a","E95","Netwrix Auditor","4852","4867","cpe:2.3:a:netwrix:auditor:*:*:*:*:*:*:*:*","a:netwrix:auditor","R5","CVE-2022-31199","validated_linked_cve_family"
"aa23-201a","E110","NetScaler (formerly Citrix) Application Delivery Controller (ADC)","1239","1304","cpe:2.3:a:citrix:netscaler_application_delivery_controller:*:*:*:*:*:*:*:*","a:citrix:netscaler_application_delivery_controller","R2","CVE-2023-3519","validated_linked_cve_family"
"aa23-201a","E111","NetScaler Gateway","1309","1326","cpe:2.3:a:citrix:netscaler_gateway:*:*:*:*:*:*:*:*","a:citrix:netscaler_gateway","R3","CVE-2023-3519","validated_linked_cve_family"
"aa23-201a","E112","NetScaler ADC","3504","3517","cpe:2.3:a:citrix:netscaler_application_delivery_controller:*:*:*:*:*:*:*:*","a:citrix:netscaler_application_delivery_controller","R4","CVE-2023-3519","validated_linked_cve_family"
"aa23-201a","E113","NetScaler ADC","4171","4184","cpe:2.3:a:citrix:netscaler_application_delivery_controller:*:*:*:*:*:*:*:*","a:citrix:netscaler_application_delivery_controller","R5","CVE-2023-3519","validated_linked_cve_family"
"aa23-201a","E114","NetScaler Gateway","4189","4206","cpe:2.3:a:citrix:netscaler_gateway:*:*:*:*:*:*:*:*","a:citrix:netscaler_gateway","R6","CVE-2023-3519","validated_linked_cve_family"
"aa23-201a","E115","NetScaler ADC","14478","14491","cpe:2.3:a:citrix:netscaler_application_delivery_controller:*:*:*:*:*:*:*:*","a:citrix:netscaler_application_delivery_controller","R7","CVE-2023-3519","validated_linked_cve_family"
"aa23-213a","E66","Ivanti Endpoint Manager Mobile (EPMM)","2035","2072","cpe:2.3:a:ivanti:endpoint_manager_mobile:*:*:*:*:*:*:*:*","a:ivanti:endpoint_manager_mobile","R4","CVE-2023-35078","validated_linked_cve_family"
"aa23-213a","E67","EPMM","2312","2316","cpe:2.3:a:ivanti:endpoint_manager_mobile:*:*:*:*:*:*:*:*","a:ivanti:endpoint_manager_mobile","R5","CVE-2023-35081","validated_linked_cve_family"
"aa23-213a","E69","Ivanti Endpoint Manager Mobile (EPMM)","4747","4784","cpe:2.3:a:ivanti:endpoint_manager_mobile:*:*:*:*:*:*:*:*","a:ivanti:endpoint_manager_mobile","R7","CVE-2023-35078","validated_linked_cve_family"
"aa23-213a","E70","EPMM","5396","5400","cpe:2.3:a:ivanti:endpoint_manager_mobile:*:*:*:*:*:*:*:*","a:ivanti:endpoint_manager_mobile","R9","CVE-2023-35081","validated_linked_cve_family"
"aa23-213a","E71","EPMM","6493","6497","cpe:2.3:a:ivanti:endpoint_manager_mobile:*:*:*:*:*:*:*:*","a:ivanti:endpoint_manager_mobile","R10","CVE-2023-35078","validated_linked_cve_family"
"aa23-213a","E72","EPMM","7516","7520","cpe:2.3:a:ivanti:endpoint_manager_mobile:*:*:*:*:*:*:*:*","a:ivanti:endpoint_manager_mobile","R12","CVE-2023-35081","validated_linked_cve_family"
"aa23-213a","E73","Ivanti EPMM","8576","8587","cpe:2.3:a:ivanti:endpoint_manager_mobile:*:*:*:*:*:*:*:*","a:ivanti:endpoint_manager_mobile","R14","CVE-2023-35078","validated_linked_cve_family"
"aa23-213a","E74","EPMM","8817","8821","cpe:2.3:a:ivanti:endpoint_manager_mobile:*:*:*:*:*:*:*:*","a:ivanti:endpoint_manager_mobile","R15","CVE-2023-35081","validated_linked_cve_family"
"aa23-213a","E75","EPMM","9016","9020","cpe:2.3:a:ivanti:endpoint_manager_mobile:*:*:*:*:*:*:*:*","a:ivanti:endpoint_manager_mobile","R17","CVE-2023-35078","validated_linked_cve_family"
"aa23-215a","E165","Microsoft Exchange","5374","5392","cpe:2.3:a:microsoft:exchange_server:*:*:*:*:*:*:*:*","a:microsoft:exchange_server","R1|R2|R3","CVE-2021-31207|CVE-2021-34473|CVE-2021-34523","validated_linked_cve_family"
"aa23-215a","E166","Zoho ManageEngine ADSelfService Plus","5898","5934","cpe:2.3:a:zohocorp:manageengine_adselfservice_plus:*:*:*:*:*:*:*:*","a:zohocorp:manageengine_adselfservice_plus","R4","CVE-2021-40539","validated_linked_cve_family"
"aa23-215a","E167","Atlassian Confluence","6147","6167","cpe:2.3:a:atlassian:confluence:*:*:*:*:*:*:*:*","a:atlassian:confluence","R5","CVE-2021-26084","canonical_family_but_not_linked_cve"
"aa23-215a","E168","Apache’s Log4j","6652","6666","cpe:2.3:a:apache:log4j:*:*:*:*:*:*:*:*","a:apache:log4j","R6","CVE-2021-44228","validated_linked_cve_family"
"aa23-215a","E169","VMware Workspace ONE Access","7388","7415","cpe:2.3:a:vmware:workspace_one_access:*:*:*:*:*:*:*:*","a:vmware:workspace_one_access","R7|R9","CVE-2022-22954|CVE-2022-22960","validated_linked_cve_family"
"aa23-215a","E170","Identity Manager","7417","7433","cpe:2.3:a:vmware:identity_manager:*:*:*:*:*:*:*:*","a:vmware:identity_manager","R10|R8","CVE-2022-22954|CVE-2022-22960","validated_linked_cve_family"
"aa23-215a","E171","F5 BIG-IP","7854","7863","cpe:2.3:a:f5:big-ip:*:*:*:*:*:*:*:*","a:f5:big-ip","R11","CVE-2022-1388","canonical_family_but_not_linked_cve"
"aa23-215a","E172","Microsoft Support Diagnostic Tool (MSDT)","7958","7998","cpe:2.3:o:microsoft:windows:*:*:*:*:*:*:*:*","o:microsoft:windows","R12","CVE-2022-30190","canonical_family_but_not_linked_cve"
"aa23-215a","E173","Atlassian Confluence","8178","8198","cpe:2.3:a:atlassian:confluence:*:*:*:*:*:*:*:*","a:atlassian:confluence","R13","CVE-2022-26134","canonical_family_but_not_linked_cve"
"aa23-215a","E174","FortiOS","8548","8555","cpe:2.3:o:fortinet:fortios:*:*:*:*:*:*:*:*","o:fortinet:fortios","R14","CVE-2018-13379","validated_linked_cve_family"
"aa23-215a","E175","FortiProxy","8560","8570","cpe:2.3:a:fortinet:fortiproxy:*:*:*:*:*:*:*:*","a:fortinet:fortiproxy","R15","CVE-2018-13379","validated_linked_cve_family"
"aa23-215a","E176","Exchange Server","8724","8739","cpe:2.3:a:microsoft:exchange_server:*:*:*:*:*:*:*:*","a:microsoft:exchange_server","R17","CVE-2021-34473","validated_linked_cve_family"
"aa23-215a","E177","Exchange Server","8826","8841","cpe:2.3:a:microsoft:exchange_server:*:*:*:*:*:*:*:*","a:microsoft:exchange_server","R19","CVE-2021-31207","validated_linked_cve_family"
"aa23-215a","E178","Exchange Server","8991","9006","cpe:2.3:a:microsoft:exchange_server:*:*:*:*:*:*:*:*","a:microsoft:exchange_server","R21","CVE-2021-34523","validated_linked_cve_family"
"aa23-215a","E179","ADSelfService Plus","9095","9113","cpe:2.3:a:zohocorp:manageengine_adselfservice_plus:*:*:*:*:*:*:*:*","a:zohocorp:manageengine_adselfservice_plus","R23","CVE-2021-40539","validated_linked_cve_family"
"aa23-215a","E180","Confluence","9198","9208","cpe:2.3:a:atlassian:confluence:*:*:*:*:*:*:*:*","a:atlassian:confluence","R25","CVE-2021-26084","canonical_family_but_not_linked_cve"
"aa23-215a","E181","Log4j2","9398","9404","cpe:2.3:a:apache:log4j:*:*:*:*:*:*:*:*","a:apache:log4j","R27","CVE-2021-44228","validated_linked_cve_family"
"aa23-215a","E182","Workspace ONE Access","9681","9701","cpe:2.3:a:vmware:workspace_one_access:*:*:*:*:*:*:*:*","a:vmware:workspace_one_access","R32","CVE-2022-22954","validated_linked_cve_family"
"aa23-215a","E183","Identity Manager","9706","9722","cpe:2.3:a:vmware:identity_manager:*:*:*:*:*:*:*:*","a:vmware:identity_manager","R33","CVE-2022-22954","validated_linked_cve_family"
"aa23-215a","E184","Workspace ONE Access","9814","9834","cpe:2.3:a:vmware:workspace_one_access:*:*:*:*:*:*:*:*","a:vmware:workspace_one_access","R35","CVE-2022-22960","validated_linked_cve_family"
"aa23-215a","E185","Identity Manager","9836","9852","cpe:2.3:a:vmware:identity_manager:*:*:*:*:*:*:*:*","a:vmware:identity_manager","R36","CVE-2022-22960","validated_linked_cve_family"
"aa23-215a","E186","vRealize Automation","9858","9877","cpe:2.3:a:vmware:vrealize_automation:*:*:*:*:*:*:*:*","a:vmware:vrealize_automation","R37","CVE-2022-22960","validated_linked_cve_family"
"aa23-215a","E187","BIG-IP","9972","9978","cpe:2.3:a:f5:big-ip:*:*:*:*:*:*:*:*","a:f5:big-ip","R39","CVE-2022-1388","canonical_family_but_not_linked_cve"
"aa23-215a","E188","Confluence","10153","10163","cpe:2.3:a:atlassian:confluence:*:*:*:*:*:*:*:*","a:atlassian:confluence","R41","CVE-2022-26134","canonical_family_but_not_linked_cve"
"aa23-215a","E189","Exchange Server","10735","10750","cpe:2.3:a:microsoft:exchange_server:*:*:*:*:*:*:*:*","a:microsoft:exchange_server","R43","CVE-2017-11882","canonical_family_but_not_linked_cve"
"aa23-215a","E190","Pulse Connect Secure","10892","10912","cpe:2.3:a:ivanti:connect_secure:*:*:*:*:*:*:*:*","a:ivanti:connect_secure","R45","CVE-2019-11510","validated_linked_cve_family"
"aa23-215a","E191","Remote Desktop Services","11047","11070","cpe:2.3:o:microsoft:windows:*:*:*:*:*:*:*:*","o:microsoft:windows","R47","CVE-2019-0708","canonical_family_but_not_linked_cve"
"aa23-215a","E192","Application Delivery Controller","11121","11152","cpe:2.3:a:citrix:netscaler_application_delivery_controller:*:*:*:*:*:*:*:*","a:citrix:netscaler_application_delivery_controller","R49","CVE-2019-19781","canonical_family_but_not_linked_cve"
"aa23-215a","E193","Gateway","11157","11164","cpe:2.3:a:citrix:netscaler_gateway:*:*:*:*:*:*:*:*","a:citrix:netscaler_gateway","R50","CVE-2019-19781","validated_by_adjudication"
